,id,x,y,type
1878,cluster_1679918481_660852061,14814.29,18579.96,priority
1879,cluster_1680004084_244416149,14573.47,18749.81,priority
1880,cluster_1680004101_366682454,14812.04,18796.74,priority
1881,cluster_1680834847_26110670,13523.88,16603.23,right_before_left
1882,cluster_1680834887_1680834914,13480.67,16934.55,priority
1883,cluster_1680834888_1734168964_32319931_664189382,13509.61,16915.42,priority
1884,cluster_1680834999_26718382,13636.17,17056.83,priority
1885,cluster_1680835188_2316880301_26953401,13319.45,17801.13,traffic_light
1886,cluster_1683627807_1840182995,11274.49,19084.27,priority
1887,cluster_1686164666_220600413_796757898_796757920_796757921,10263.30,18559.79,priority
1888,cluster_1686195777_1686195782_1686314502,10178.74,19632.94,traffic_light
1889,cluster_1692287791_2664872746_2664872751_280950240,14312.15,15815.77,traffic_light
1890,cluster_1705496925_1968479308_36832211_396957_647103148_647103179_647103184_647103231_672773475_672773480_672773485_773906716_773906721,12278.36,15276.87,priority
1891,cluster_1722172521_1722172522,13566.68,18316.66,priority
1892,cluster_1722236839_1862048300_1862048301_1862050253_34482665_53861456,11695.25,16302.88,traffic_light
1893,cluster_1722236952_1722236962,11052.63,16929.00,priority
1894,cluster_1722236976_1722236978,11003.15,17002.25,priority
1895,cluster_1725697981_573820370_573820374_574710586_720900336_729163746,9984.19,16355.71,priority
1896,cluster_1726436520_457980_458003,12494.81,15147.79,traffic_light
1897,cluster_1880680520_34482662,11695.04,15707.89,traffic_light
1898,cluster_1895176792_360006,11266.24,15626.02,priority
1899,cluster_1958913747_1958913778_1958913781,12321.21,15753.51,priority
1900,cluster_1994408609_397143,14574.60,15233.12,traffic_light
1901,cluster_2083553505_255072664,12913.20,15020.62,traffic_light
1902,cluster_2084912557_38443855_38443856_38443858,11292.30,17654.84,traffic_light
1903,cluster_2116206059_311145867,13518.07,15951.23,priority
1904,cluster_2118856942_76474180,13713.52,15321.91,priority
1905,cluster_213018462_223096049,10068.80,16861.76,right_before_left
1906,cluster_2130811988_319549649_319549713,14290.73,15620.52,priority
1907,cluster_2137674984_674067366,13989.94,14910.52,dead_end
1908,cluster_2138007542_3511101691_38443832_38443844_38443847,11208.17,17755.89,traffic_light
1909,cluster_2139304346_238292728,10964.90,17270.77,traffic_light
1910,cluster_2139321457_2139387394,10858.49,17127.24,priority
1911,cluster_2140165261_256481964,14083.77,16300.38,priority
1912,cluster_2144590662_3239863996_3239863997,12188.67,16693.15,traffic_light
1913,cluster_215310637_765964471,12871.17,17471.09,traffic_light
1914,cluster_218030456_734475266,12218.34,18706.26,priority
1915,cluster_223248327_246281818,12370.22,17559.53,priority
1916,cluster_223250918_640502213,12375.67,17342.62,right_before_left
1917,cluster_225727152_2403150041,10858.28,19496.10,traffic_light
1918,cluster_228724865_2669021576,11386.82,19756.86,priority
1919,cluster_2292787672_259083790,14774.78,15562.62,traffic_light
1920,cluster_2347650561_26953427_38443761_38443763_98158434,11980.29,16520.35,priority
1921,cluster_238614980_246271941,12273.19,17875.22,priority
1922,cluster_2415878735_39614137_40838852_76615064,10871.93,14917.29,traffic_light
1923,cluster_2415878770_312382302_312382303_312382304_312382305,11329.89,15725.94,priority
1924,cluster_242847926_32319133,13396.67,17033.59,priority
1925,cluster_2430219710_2430219714_255445066_53861454,11431.28,15873.55,traffic_light
1926,cluster_243364969_3233145130_3233145133_659567773,13513.98,18466.31,priority
1927,cluster_246565575_246566709,12794.90,18219.25,priority
1928,cluster_246565580_246566422,12678.21,18355.94,right_before_left
1929,cluster_246649196_25984804_25984840,15206.22,16038.12,traffic_light
1930,cluster_249536359_2583597877_2583597878_2583597883_2583597884_2583597889,12843.05,15041.17,priority
1931,cluster_25074431_512505744,12339.82,15341.38,priority
1932,cluster_252046467_252046470,13679.20,17228.67,priority
1933,cluster_254927782_254927784_32543884,13963.41,15108.44,priority
1934,cluster_254927819_51452722,13727.95,15302.52,priority
1935,cluster_254927844_256281846,14075.95,15210.88,traffic_light
1936,cluster_256188566_2971325921,13978.95,16500.36,right_before_left
1937,cluster_256189694_256542202,14248.55,16614.39,right_before_left
1938,cluster_256202096_256697581,14343.49,16772.97,right_before_left
1939,cluster_256262021_32996011,13874.89,16386.58,traffic_light
1940,cluster_256262290_311147981,13958.01,16087.42,priority
1941,cluster_256281546_280952852,14097.31,15307.32,traffic_light
1942,cluster_256309721_283845048,13817.14,15550.67,priority
1943,cluster_256473257_256473262,13965.98,16057.99,priority
1944,cluster_256492487_256492669,13976.85,14913.58,dead_end
